codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
9188;27932;PPXMJ;6270;AVI«O;EMBRAER;EMB-195;***;0;0;0;0;BRASIL;PET;EXPERIMENTAL;****;****;INDETERMINADA;EXPERIMENTAL;SUBSTANCIAL;0;30/07/2016
9189;27933;PTMZN;4832;AVI«O;AIRBUS INDUSTRIE;A320-231;JATO;2;77000;183;1993;BRASIL;TPX;TµXI AêREO;****;****;INDETERMINADA;TµXI AêREO;***;0;30/07/2016
9191;27952;PTRST;3992;AVI«O;EMBRAER;EMB-810D;PIST«O;2;2155;6;1984;BRASIL;TPP;PARTICULAR;****;****;POUSO;PRIVADA;DESTRU÷DA;0;30/07/2016
9192;27953;PTYHA;3992;HELIC‡PTERO;BELL HELICOPTER;206L-3;TURBOEIXO;1;1882;7;1992;BRASIL;TPP;PARTICULAR;****;SDWT;POUSO;PRIVADA;SUBSTANCIAL;0;30/07/2016
9193;28015;PTIXJ;3992;AVI«O;AMERICAN CHAMPION;7GCBC;PIST«O;1;748;2;1973;BRASIL;TPP;PARTICULAR;****;****;CRUZEIRO;PRIVADA;***;0;30/07/2016
9194;28016;PPFIZ;149;AVI«O;AERO BOERO;AB-180;PIST«O;1;844;2;1992;BRASIL;PRI;INSTRUÄ«O;****;****;MANOBRA;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
9195;28033;PTUKN;4823;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PIST«O;1;1800;1;1997;BRASIL;SAE-AG;AGR÷COLA;****;****;ESPECIALIZADA;AGR÷COLA;SUBSTANCIAL;0;30/07/2016
9196;28053;PTHZO;3733;HELIC‡PTERO;HELIBRAS;AS 350 B2;TURBOEIXO;1;2250;6;1996;BRASIL;TPX;TµXI AêREO;****;****;POUSO;TµXI AêREO;DESTRU÷DA;0;30/07/2016
9199;45821;PTYSY;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;PIST«O;1;1088;4;1997;BRASIL;TPP;PARTICULAR;****;****;DECOLAGEM;PRIVADA;DESTRU÷DA;0;30/07/2016
9199;28094;PTYSY;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44;PIST«O;1;1088;4;1997;BRASIL;TPP;PARTICULAR;****;****;DECOLAGEM;PRIVADA;SUBSTANCIAL;0;30/07/2016
9202;28114;PTOYF;153;AVI«O;CESSNA AIRCRAFT;150L;PIST«O;1;725;2;1973;BRASIL;PRI;INSTRUÄ«O;SBBU;SBBU;OUTRA FASE;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
9202;50976;PTOYF;5397;AVI«O;CESSNA AIRCRAFT;150L;PIST«O;1;725;2;1973;BRASIL;PRI;INSTRUÄ«O;****;****;DECOLAGEM;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
9203;28115;PRGLM;2327;AVI«O;BOEING COMPANY;737-322;JATO;2;61234;151;1990;BRASIL;TPR;REGULAR;****;****;INDETERMINADA;REGULAR;***;0;30/07/2016
9204;28117;PTJUF;3992;AVI«O;CESSNA AIRCRAFT;210L;PIST«O;1;1724;6;1974;BRASIL;TPP;PARTICULAR;****;****;INDETERMINADA;PRIVADA;DESTRU÷DA;0;30/07/2016
